,date,euro_to_usd,japanese_yen_to_usd,uk_pound_to_usd,australian_dollar_to_usd,swiss_franc_to_usd
2275,2012-08-10,1.2262,0.012722646310432571,1.5609,1.0519,1.0220768601798855
2276,2012-08-13,1.2339,0.01277791975466394,1.5705,1.055,1.026272577996716
2277,2012-08-14,1.2352,0.012750223128904755,1.5697,1.0516,1.0287007509515482
2278,2012-08-15,1.2276,0.012690355329949238,1.5682,1.0476,1.0225994477962983
2279,2012-08-16,1.2279,0.012642225031605564,1.5694,1.0483,1.022390348635109
2280,2012-08-17,1.2337,0.012600806451612904,1.5697,1.0472,1.0291242152927857
2281,2012-08-20,1.23,0.012567550584391103,1.5693,1.0446,1.026167265264238
2282,2012-08-21,1.2428,0.012597631645250693,1.5757,1.0481,1.0341261633919339
2283,2012-08-22,1.2448,0.012621481761958854,1.5787999999999998,1.0437,1.0378827192527245
2284,2012-08-23,1.2552,0.012730744748567792,1.5877,1.0516,1.0451505016722409
2285,2012-08-24,1.2507,0.012730744748567792,1.5843,1.0438,1.0426441455531228
2286,2012-08-27,1.253,0.012690355329949238,1.58,1.0384,1.043079169708981
2287,2012-08-28,1.2548,0.012730744748567792,1.5785999999999998,1.0374,1.0443864229765012
2288,2012-08-29,1.2545,0.012722646310432571,1.5822,1.0373,1.0454783063251438
2289,2012-08-30,1.2544,0.012717792191275595,1.5844,1.0337,1.0441683199331733
2290,2012-08-31,1.2611,0.012746972594008922,1.5839,1.0301,1.0482180293501049
2291,2012-09-04,1.2579,0.012763241863433313,1.5874,1.0276,1.047888504663104
2292,2012-09-05,1.2578,0.012737230925996688,1.59,1.0205,1.0442773600668338
2293,2012-09-06,1.2638,0.012745347947998982,1.5909,1.0226,1.0477787091366304
2294,2012-09-07,1.2706,0.012675877804537964,1.5925,1.0321,1.0446046171524077
2295,2012-09-10,1.2776,0.012782819890067748,1.5995,1.0351,1.0577533319229955
2296,2012-09-11,1.2787,0.012784454103809767,1.6037,1.0334,1.060332944544587
2297,2012-09-12,1.2896,0.012840267077555215,1.6114,1.047,1.068604402650139
2298,2012-09-13,1.291,0.012860082304526748,1.6104,1.0471,1.0655301012253595
2299,2012-09-14,1.3095,0.01287995878413189,1.6236,1.0579,1.0753844499408538
2300,2012-09-17,1.3086,0.01280130254728223,1.6235,1.0534,1.0785159620362381
2301,2012-09-18,1.3054,0.012722646310432571,1.6256,1.0452,1.0780508840017249
2302,2012-09-19,1.3002,0.012634238787113075,1.6207,1.047,1.0760787689658884
2303,2012-09-20,1.2954,0.012804097311139566,1.6191,1.0389,1.0713520462824084
2304,2012-09-21,1.2988,0.012764871074802144,1.6274,1.0469,1.075037626316921
2305,2012-09-24,1.2916,0.012810658467845248,1.6201000000000003,1.0422,1.0673497705197994
2306,2012-09-25,1.2932,0.012845215157353887,1.6217,1.0422,1.0679196924391285
2307,2012-09-26,1.2845,0.012863390789812195,1.6191,1.0353,1.0641694157709907
2308,2012-09-27,1.2874,0.012874983906270118,1.6198,1.0419,1.0646225912913871
2309,2012-09-28,1.293,0.012891581797086504,1.6191,1.0464,1.0689470871191875
2310,2012-10-01,1.2877,0.012832028743744384,1.6145,1.03845,1.0665529010238908
2311,2012-10-02,1.293,0.012812299807815503,1.6147,1.0305,1.067463706233988
2312,2012-10-03,1.2904,0.012784454103809767,1.6111999999999997,1.0213,1.0667804565820354
2313,2012-10-04,1.2951,0.012722646310432571,1.6109,1.0222,1.0684902233144566
2314,2012-10-05,1.3002,0.012729124236252545,1.6188,1.0263,1.073191672032625
2315,2012-10-09,1.2953,0.01277139208173691,1.6015,1.0229,1.067691650651292
2316,2012-10-10,1.2889,0.012779552715654952,1.6001999999999998,1.0228,1.0628122010840686
2317,2012-10-11,1.2918,0.012807377049180328,1.6032,1.028,1.0687186063909373
2318,2012-10-12,1.297,0.012755102040816325,1.6064,1.0271,1.0725010725010724
2319,2012-10-15,1.2971,0.01274047649382087,1.6055,1.0216,1.0719262514738988
2320,2012-10-16,1.3046,0.012687135244861711,1.609,1.0264,1.0770059235325795
2321,2012-10-17,1.312,0.012687135244861711,1.6162,1.0309,1.0844810758052272
2322,2012-10-18,1.3118,0.012635835228708618,1.6149,1.0386,1.0841283607979184
2323,2012-10-19,1.3035,0.012602394454946441,1.6058,1.0364,1.0796804145972791
2324,2012-10-22,1.3063,0.01260716086737267,1.6043,1.0326,1.0800302408467437
2325,2012-10-23,1.3005,0.012501562695336917,1.5984,1.0323,1.075037626316921
2326,2012-10-24,1.2942,0.012523481527864748,1.6006,1.0315,1.0703200256876806
2327,2012-10-25,1.2993,0.012484394506866418,1.6138,1.0363,1.0744600838078866
2328,2012-10-26,1.2908,0.012462612163509473,1.6102000000000003,1.0313,1.0660980810234542
2329,2012-10-29,1.2898,0.012553351744915894,1.6054,1.0334666666666668,1.0696953679649506
2330,2012-10-30,1.2962,0.012578616352201259,1.6062000000000003,1.0356333333333334,1.0732926549064468
2331,2012-10-31,1.2993,0.012556504269211451,1.6116,1.0378,1.0768899418479432
2332,2012-11-01,1.2975,0.012496875781054738,1.6163,1.0372,1.0738831615120275
2333,2012-11-02,1.285,0.012459506603538499,1.6088,1.0396,1.0675776662752217
2334,2012-11-05,1.2777,0.012425447316103379,1.5976,1.0363,1.0598834128245893
2335,2012-11-06,1.28,0.012468827930174562,1.5981,1.0429,1.0607828577490188
2336,2012-11-07,1.2746,0.012484394506866418,1.5996000000000001,1.0451,1.0610079575596818
2337,2012-11-08,1.2736,0.012506253126563283,1.595,1.041,1.0570824524312896
2338,2012-11-09,1.2694,0.01257387149503332,1.5945,1.042,1.0549636037556704
2339,2012-11-12,1.2735,0.012581781580271767,1.5876,1.042,1.0545186122535062
2340,2012-11-13,1.2696,0.012559658377292136,1.5906000000000002,1.0404,1.0551862403714256
2341,2012-11-14,1.2726,0.012577034335303735,1.5869,1.0453,1.0582010582010584
2342,2012-11-15,1.2756,0.012467273407305824,1.5848999999999998,1.0369,1.0605578534309048
2343,2012-11-16,1.2745,0.01232589670898558,1.5859,1.0326,1.057194206575748
2344,2012-11-19,1.2762,0.012274456855284154,1.5904,1.0374,1.0599957600169598
2345,2012-11-20,1.2809,0.012306177701206004,1.5926,1.041,1.0638297872340425
2346,2012-11-21,1.2805,0.012217470983506415,1.5933,1.0352,1.0640561821664185
2347,2012-11-26,1.2964,0.012150668286755772,1.6017000000000001,1.0457,1.0767739851405191
2348,2012-11-27,1.2961,0.012195121951219513,1.6029,1.0486,1.0753844499408538
2349,2012-11-28,1.2891,0.012220457045093487,1.5983,1.0458,1.0722710701265281
2350,2012-11-29,1.2994,0.012168410805548794,1.6019000000000003,1.0466,1.0785159620362381
2351,2012-11-30,1.2986,0.01212856276531231,1.6056999999999997,1.0431,1.081081081081081
2352,2012-12-03,1.3057,0.012143290831815423,1.6050000000000002,1.0414,1.0807305738679347
2353,2012-12-04,1.3092,0.01218026796589525,1.6122,1.0439,1.0787486515641855
2354,2012-12-05,1.3065,0.0121580547112462,1.6114,1.0477,1.0772379618657761
2355,2012-12-06,1.3072,0.012132977432661975,1.6107,1.0463,1.0789814415192058
2356,2012-12-07,1.2905,0.012122681537156019,1.6024,1.048,1.06928999144568
2357,2012-12-10,1.293,0.012112403100775193,1.6054,1.0472,1.0699764605178685
2358,2012-12-11,1.2993,0.012140342357654486,1.609,1.0482,1.0729613733905579
2359,2012-12-12,1.304,0.012113870381586917,1.6142,1.0524,1.0751532093323297
2360,2012-12-13,1.3077,0.011990407673860911,1.6129,1.055,1.0792143319663285
2361,2012-12-14,1.3081,0.011918951132300357,1.6119000000000003,1.054,1.0828370330265296
2362,2012-12-17,1.316,0.011904761904761904,1.6204,1.0541,1.0890873448050533
2363,2012-12-18,1.3178,0.011907597046915932,1.6203,1.0541,1.0913456291607553
2364,2012-12-19,1.3302,0.01185536455245999,1.6299,1.0517,1.0981770261366133
2365,2012-12-20,1.3246,0.011869436201780416,1.6266,1.0482,1.098297638660077
2366,2012-12-21,1.3209,0.011914690813773382,1.6237,1.0451,1.0933741526350318
2367,2012-12-26,1.32375,0.011743981209630064,1.6206,1.0404,1.095655016589804
2368,2012-12-27,1.3266,0.011655011655011656,1.6175,1.0357,1.097935880544576
2369,2012-12-28,1.3183,0.011554015020219527,1.6116,1.038,1.0909884355225834
2370,2013-01-02,1.3262,0.01150568105360138,1.6296,1.0468,1.0879700775855294
2371,2013-01-03,1.3102,0.011457347086983235,1.618,1.0451000000000001,1.0849517196484757
2372,2013-01-04,1.3012,0.011409013120365089,1.6017000000000001,1.0434,1.075037626316921
2373,2013-01-07,1.3039,0.011353315168029064,1.6058,1.0472,1.07863229425089
2374,2013-01-08,1.3086,0.011424654404204272,1.61,1.048,1.0856584518510477
2375,2013-01-09,1.3056,0.011435105774728416,1.6029,1.0504,1.0795638562020944
2376,2013-01-10,1.3113,0.011345586566825504,1.606,1.0549,1.0838933448948624
2377,2013-01-11,1.3274,0.011235955056179775,1.6111,1.0583,1.0909884355225834
2378,2013-01-14,1.3341,0.01119958056448194,1.608,1.056,1.0903936321011884
2379,2013-01-15,1.3327,0.011163206072784104,1.6051000000000002,1.0546,1.0797969981643452
2380,2013-01-16,1.3277,0.011344299489506523,1.6038,1.0564,1.0758472296933836
2381,2013-01-17,1.3368,0.011280315848843767,1.6029,1.0508,1.0745755426606491
2382,2013-01-18,1.3324,0.01110494169905608,1.5941000000000003,1.0518,1.072731173567904
2383,2013-01-22,1.3317,0.011217049915872124,1.5867,1.055,1.0766580534022394
2384,2013-01-23,1.333,0.011280315848843767,1.5856,1.0537,1.0772379618657761
2385,2013-01-24,1.3349,0.011293054771315642,1.5823,1.0515,1.0751532093323297
2386,2013-01-25,1.3469,0.011049723756906077,1.5764,1.045,1.0826025765941323
2387,2013-01-28,1.3444,0.010982976386600769,1.5705,1.04475,1.079097874177188
2388,2013-01-29,1.3433,0.011025358324145534,1.5739,1.0445,1.0818998160770312
2389,2013-01-30,1.3541,0.010997470581766193,1.5773999999999997,1.0475,1.0903936321011884
2390,2013-01-31,1.355,0.010980564401010213,1.5783,1.0394,1.0969723562966214
